;;;;;;
No;"Kode Provinsi
Kemendagri";Provinsi;Tahun;Hewan;Jenis Pemotongan;Ekor
334;74;Sulawesi Tenggara;2019;Kerbau;Pemotongan Tercatat;96
335;75;Gorontalo;2019;Kerbau;Pemotongan Tercatat;0
336;76;Sulawesi Barat;2019;Kerbau;Pemotongan Tercatat;649
337;81;Maluku;2019;Kerbau;Pemotongan Tercatat;229
338;82;Maluku Utara;2019;Kerbau;Pemotongan Tercatat;0
339;92;Papua Barat;2019;Kerbau;Pemotongan Tercatat;0
340;91;Papua;2019;Kerbau;Pemotongan Tercatat;115
341;11;Aceh;2020;Kerbau;Pemotongan Tercatat;11580
342;12;Sumatera Utara;2020;Kerbau;Pemotongan Tercatat;6724
343;13;Sumatera Barat;2020;Kerbau;Pemotongan Tercatat;7235
344;14;Riau;2020;Kerbau;Pemotongan Tercatat;9309
345;15;Jambi;2020;Kerbau;Pemotongan Tercatat;8625
346;16;Sumatera Selatan;2020;Kerbau;Pemotongan Tercatat;1875
347;17;Bengkulu;2020;Kerbau;Pemotongan Tercatat;1432
348;18;Lampung;2020;Kerbau;Pemotongan Tercatat;676
349;19;Kepulauan Bangka Belitung;2020;Kerbau;Pemotongan Tercatat;0
350;21;Kepulauan Riau;2020;Kerbau;Pemotongan Tercatat;0
351;31;DKI Jakarta;2020;Kerbau;Pemotongan Tercatat;131
352;32;Jawa Barat;2020;Kerbau;Pemotongan Tercatat;3026
353;33;Jawa Tengah;2020;Kerbau;Pemotongan Tercatat;6311
354;34;DI Yogyakarta;2020;Kerbau;Pemotongan Tercatat;4
355;35;Jawa Timur;2020;Kerbau;Pemotongan Tercatat;11
356;36;Banten;2020;Kerbau;Pemotongan Tercatat;3533
357;51;Bali;2020;Kerbau;Pemotongan Tercatat;66
358;52;Nusa Tenggara Barat;2020;Kerbau;Pemotongan Tercatat;5377
359;53;Nusa Tenggara Timur;2020;Kerbau;Pemotongan Tercatat;4600
360;61;Kalimantan Barat;2020;Kerbau;Pemotongan Tercatat;275
361;62;Kalimantan Tengah;2020;Kerbau;Pemotongan Tercatat;257
362;63;Kalimantan Selatan;2020;Kerbau;Pemotongan Tercatat;2307
363;64;Kalimantan Timur;2020;Kerbau;Pemotongan Tercatat;273
364;65;Kalimantan Utara;2020;Kerbau;Pemotongan Tercatat;47
365;71;Sulawesi Utara;2020;Kerbau;Pemotongan Tercatat;0
366;72;Sulawesi Tengah;2020;Kerbau;Pemotongan Tercatat;53
